Gesture R,"[1.8962077, 1.8674773, 1.934515, 2.2122424, 2.5091233, 2.7006595, 1.8004397, 1.2545617, 1.388637, 2.0015526, 2.6431987, 2.6431987, 2.528277, 2.432509, 2.5187001, 2.6048915, 2.384625, 2.1452048, 0.5650316, -0.32561144, -1.3311762, -2.7102363, -2.2409728, 0.45968673, 0.7661445, 0.6512229, 2.2218192, 5.4779334, 8.408437, 11.616667, 17.228676, 22.716187, 26.26918, 25.713726, 22.170307, 19.211075, 17.84159, 16.673222, 13.503298, 9.643845, 7.699753, 8.0445175, 7.9583263, 7.8050976, 7.201759, 6.8761473, 7.728483, 8.408437, 7.326257, 8.283937, 8.379706, 8.695741, 9.232041, 8.42759, 6.493075, 4.1659107, 1.2545617, -0.41180268, -0.59376204, -1.4939818, -3.9839516, -7.019799, -8.350976, 11.81778, 8.647857, 10.936713, 7.441179]","[8.379706, 8.42759, 8.66701, 9.002198, 9.021352, 8.916007, 8.7053175, 8.628703, 8.552089, 8.561666, 8.580819, 8.571242, 8.207323, 7.7667904, 7.240066, 6.2345014, 4.7500963, 3.1411927, 1.6376339, 0.45968673, -0.6607997, -1.8866309, -2.3654714, -1.9249382, -1.13964, -0.21068975, 0.9959879, 3.0358477, 6.655881, 10.228029, 14.393941, 19.756952, 24.372972, 26.690561, 26.824636, 25.713726, 23.262064, 20.072987, 16.290148, 12.74673, 10.0748005, 8.264784, 6.7708025, 5.267244, 3.9073372, 2.528277, 1.388637, 0.7086837, 0.25857377, 0.0, -0.23942018, -0.2873042, -0.62249243, -1.2258313, -2.1930888, -2.9975405, -3.6391866, -3.9552212, -3.667917, -2.9879637, -2.3942018, -0.9864111, 0.5746084, 15.8304615, -3.8019924, 13.426683, 9.078813]","[-1.6472107, -0.2777274, -0.6703765, -1.5035586, -1.292869, -1.3503298, -1.4269443, -1.0534488, -1.7046716, -1.9632454, -2.183512, -2.6527755, -2.1452048, -1.8291701, -1.7812861, -1.043872, -0.11492168, 0.61291564, 0.92895025, 1.5610195, 2.1164744, 3.8307228, 3.3039982, 1.5897499, 1.7046716, 3.2561142, 3.217807, 3.572149, 2.7006595, 3.3806129, 3.265691, 4.0892963, 2.6719291, 4.865018, 10.907983, 14.54717, 14.872781, 12.698846, 10.630256, 10.151415, 10.668563, 9.423578, 7.0485296, 5.93762, 5.4779334, 4.9895163, 4.0797195, 0.9864111, -1.6089035, -0.9672575, -3.9935284, -6.694188, -6.991069, -7.6231384, -6.6367273, -4.3957543, -4.367024, -4.999093, -4.7884035, -5.0661306, -3.1603463, 0.90021986, 3.7924154, 5.094861, -7.9104424, 18.119318, 6.789956]",,,,,,
Gesture R,"[4.1371803, 2.3654714, 20.226215, 7.97748, 9.576807, -14.15452, 15.255854, 4.8841715, 5.2959743]","[4.7405195, 1.8387469, 26.987442, 4.807557, -3.1316159, 7.0964136, 10.390836, -5.142745, 19.804836]","[0.17238252, 1.685518, 14.288596, 5.0374002, -7.345411, 14.077906, -3.7828386, -2.078167, 12.564771]",,,,,,
Gesture R,"[2.8921957, -1.043872, 3.2561142, 5.133168, 3.620033, 1.9440918, 1.0630256, 3.0454245, 5.449203, 6.6367273, 9.050082, 16.749836, 22.869415, 19.622877, 16.16565, 17.429789, 19.124884, 16.989256, 12.976573, 9.730036, 7.680599, 6.9623384, 6.6750345, 6.5026517, 6.4643445, 6.033388, 6.215348, 7.642292, 9.854534, 10.170568, 11.319786, 11.60709, 11.300632, 9.059659, 7.28795, 6.6175733, 5.1140146, 2.432509, -0.61291564, -4.8267107, -8.322245, -12.545617, -16.203957, -17.391481, -19.79526, -15.562311, -8.695741, -2.7006595, 5.439626, 14.54717, 17.918205, 17.879898, 16.156073, 15.303738, 15.50485, 15.064317, 13.752295, 12.363658, 10.91756, 9.864111, 8.350976, 6.3111157, 5.209783, 5.631162, 6.943185, 5.717354, 6.38773, 4.2999864, 5.363012, 7.2304893, 11.84651, 13.417107, 12.066776, 10.515334, 9.77792, 9.308656, 9.32781, 9.040505, 7.2113357, 5.1810527]","[8.513782, -2.3080103, -1.733402, -1.2641385, -1.7621324, -2.078167, -1.2545617, 1.091756, 4.357447, 9.011775, 14.978126, 22.045809, 30.090326, 33.58586, 34.352005, 33.20279, 29.803022, 24.631548, 18.981232, 13.876793, 9.844957, 6.933608, 4.8458643, 3.3901896, 1.7717092, 0.62249243, -0.15322891, -1.0534488, -2.0398598, -2.327164, -2.6240451, -2.9400797, -3.3997664, -4.0414124, -4.31914, -4.5394063, -5.046977, -5.48751, -5.717354, -5.4683566, -4.2042184, -2.2984335, 0.93852705, 5.3438582, 8.159439, 11.549629, 15.47612, 17.678785, 19.64203, 21.289242, 20.264523, 17.046717, 13.196839, 9.509769, 6.1866174, 2.2218192, -1.0630256, -3.4380736, -4.9895163, -5.6790466, -5.554548, -5.583278, -4.9320555, -3.169923, -0.23942018, 3.371036, 6.9144545, 12.028469, 16.213533, 19.10573, 21.308395, 21.346703, 20.140024, 18.674774, 17.324444, 15.945383, 14.642938, 13.311762, 11.81778, 10.563218]","[-1.4460979, 3.1890767, -0.5650316, -1.4652514, 1.0821792, 2.920926, 2.5091233, 1.13964, 3.41892, 6.9240313, 10.304645, 7.642292, 9.528923, 14.930242, 23.42487, 23.731327, 16.146496, 10.879252, 10.601525, 10.649409, 10.362105, 9.490616, 7.3549876, 6.2632318, 6.445191, 4.55856, 2.9400797, 0.34476504, -4.367024, -7.536947, -8.532935, -10.084377, -9.710882, -7.5561004, -5.6407394, -5.2002063, -4.8937483, -2.0494366, -0.19153613, 0.89064306, 2.825158, 4.7022123, 8.0924015, 13.321339, 14.968549, 15.466543, 15.064317, 12.095507, 10.524911, 5.391742, -1.2641385, -4.5777135, -5.363012, -6.090849, -6.493075, -8.293514, -9.184157, -7.8912888, -6.885724, -5.851429, -4.7500963, -3.0454245, -2.777274, -2.9592333, 1.5514427, 5.8705826, 17.03714, 22.831108, 26.518179, 20.676327, 14.15452, 8.992621, 5.851429, 4.2042184, 3.9360676, 2.8634653, 3.1316159, 3.6966474, 4.903325, 5.6886234]",,,,,,
Gesture R,"[1.7429788, 1.6089035, 1.8770541, 2.3080103, 2.5761611, 2.5378537, 2.7102363, 3.0358477, 3.0262709, 3.1124623, 3.265691, 2.5091233, 1.436521, 0.6895301, 0.36391866, 1.3503298, 2.0207062, 2.7868507, 2.3080103, -0.38307226, 0.82360536, 3.4572272, 2.825158, 3.8307228, 6.1387334, 6.6175733, 7.019799, 9.730036, 16.338032, 16.16565, 14.432248, 12.200851, 9.471462, 6.5984197, 4.0318356, 2.96881, 2.920926, 3.6870706, 3.3135753, 2.2697031, 4.453215, 6.751649, 8.197746, -0.31603462, 9.289502, 8.647857, 13.397953]","[8.073248, 7.97748, 7.929596, 8.111555, 8.063671, 7.747637, 7.5561004, 7.086837, 6.3302693, 5.315128, 4.2999864, 3.2752678, 2.1260512, 1.2354081, 0.79487497, 0.842759, 0.79487497, 0.81402856, 0.7469909, 1.1683705, 3.074155, 5.363012, 6.3302693, 8.791509, 13.417107, 17.630901, 21.614853, 25.560497, 30.358477, 32.082302, 30.128633, 26.00103, 21.423317, 17.017986, 13.541605, 11.013328, 9.739613, 8.571242, 6.3302693, 4.175488, 2.4516625, 0.8523358, -0.20111294, -6.933608, 23.15672, -9.174581, 25.062504]","[-1.436521, -2.030283, -2.2505496, -2.0207062, -1.6950948, -2.2122424, -2.6048915, -2.4516625, -1.8770541, -1.0630256, -1.2066777, -0.48841715, 0.7757214, 1.1300632, -0.05746084, -0.6991069, 0.7757214, 2.2218192, 2.6240451, 2.9783869, 3.4955344, 1.8770541, 0.6703765, 3.4476504, 5.2480903, 5.8322754, 10.352529, 14.374787, 15.47612, 13.187263, 16.203957, 15.792154, 12.603078, 11.147403, 11.070788, 10.352529, 9.030929, 6.7612257, 6.090849, 5.45878, 4.0797195, 2.6048915, 2.3080103, -1.9249382, 19.776106, -6.397307, 25.091234]",,,,,,
Gesture R,"[-0.80445176, -1.1779473, -1.1204864, 2.480393, -16.673222, -1.4173675, 3.3039982, -7.345411, -3.466804, 7.517793, -3.4572272, -7.1634517]","[10.103531, 9.308656, 9.241618, -2.3080103, 27.609934, 10.036493, 0.11492168, 4.6830587, 12.698846, 5.8705826, -1.8004397, 10.515334]","[1.6759412, 0.51714754, -0.22984336, 0.9576807, 19.10573, 7.565677, 5.583278, -7.029376, 1.8195933, 9.452309, 14.5759, 5.00867]",,,,,,
Gesture R,"[0.4309563, 1.8004397, -0.842759, 10.505757, 5.5162406, 1.8674773, -6.215348, 16.931795, 9.816227, 2.681506]","[9.452309, 9.414001, -4.309563, 30.53086, 8.169016, -9.222465, 13.148955, -1.5801731, 9.32781, 12.717999]","[2.6910827, -0.6895301, -0.7469909, 20.293253, 7.0006456, -3.5242648, 25.608381, -4.9703627, 31.086315, 11.530476]",,,,,,
Gesture R,"[1.3024458, -0.80445176, 7.345411, 6.0142345, 6.8569937, -16.615759, 18.042704, 7.7093296, 7.6614456]","[7.0102224, -1.1492168, 34.026394, 4.510676, -2.5187001, 0.8714894, 15.227123, -4.405331, 12.583924]","[0.82360536, 4.367024, 24.784777, 5.6407394, -5.5641246, 2.8060043, 2.6719291, -4.3478703, 23.501484]",,,,,,
Gesture R,"[0.92895025, -0.4405331, 7.536947, 1.1300632, 7.249643, -0.59376204, -11.789049, 14.4609785, 5.535394, 8.954314, 5.8226986]","[8.7053175, 0.02873042, 16.472107, 12.421119, 1.9153614, -2.6144683, 10.582372, 11.808203, -4.050989, 15.533581, 12.018892]","[-0.47884035, 1.043872, 4.807557, 11.377247, 1.6089035, -2.1452048, 12.756307, 0.095768064, -2.0207062, 19.450495, 9.279925]",,,,,,
Gesture R,"[0.8523358, -0.5746084, 14.671668, 11.080365, 11.415554, -11.750742, 14.326903, 9.56723, 6.9240313, 10.400413]","[9.461885, -1.2066777, 12.564771, 16.060305, -2.5474305, -3.2944214, 16.46253, 1.6759412, 5.813122, 18.23424]","[0.9768343, 2.0590134, 0.61291564, 5.755661, 0.038307227, 7.3166804, -1.3599066, -4.721366, 9.950302, 7.1251445]",,,,,,
Gesture R,"[1.7525556, 3.1603463, 6.694188, 15.74427, 7.785944, -3.3614593, -0.91937345, 12.823344, 5.602432, 8.599973]","[9.490616, 2.3175871, 5.133168, 27.791893, -5.353435, -6.1866174, 16.845604, -0.2681506, -1.3120226, 21.404163]","[0.30645782, -0.90021986, 2.4708161, 8.101978, 1.685518, -5.8322754, 19.804836, -7.9966335, 4.6926355, 16.730682]",,,,,,
Gesture R,"[1.8866309, 0.59376204, 4.55856, 9.892841, 8.743625, -1.3503298, -11.329363, 17.51598, 5.2768207, 4.6830587, 3.0262709]","[9.069236, 0.02873042, 9.260772, 16.615759, -0.5746084, -3.3327289, 12.248735, 10.352529, -1.7525556, 10.505757, 10.362105]","[-1.0821792, 1.4939818, 5.2480903, 6.847417, -0.7374141, -1.7429788, 19.469648, -1.7046716, 0.23942018, 16.931795, 7.086837]",,,,,,
Gesture R,"[0.15322891, 0.1340753, 4.0318356, 8.015787, 10.812215, -15.9262295, 18.684351, 6.9719152, 0.6512229]","[9.299079, 2.2697031, 6.6367273, 14.566323, -4.7022123, -0.08619126, 15.734694, -3.2944214, 15.9262295]","[1.6376339, 2.7006595, 3.9456444, 15.792154, -8.475474, 4.817134, 3.3423057, -2.920926, 12.890382]",,,,,,
Gesture R,"[1.532289, 1.7046716, 17.295713, 9.002198, 1.8962077, -7.3549876, 14.30775, 6.6079965, 5.6215854, 4.4436383]","[7.1251445, -1.13964, 31.814152, 4.453215, -7.8050976, 16.136919, 5.5258174, -0.038307227, 15.658079, 10.486604]","[0.47884035, -0.25857377, 15.801731, 2.8443117, -4.759673, 17.132908, -2.087744, 0.38307226, 9.509769, 4.912902]",,,,,,
Gesture R,"[2.0111294, 1.6184803, 21.231781, 9.279925, 3.064578, -12.928689, 15.275007, 7.07726, 2.8538885, 4.548983]","[7.07726, -0.7086837, 32.829292, 4.31914, -4.9703627, 5.3821654, 11.760319, -2.7485435, 19.594147, 11.18571]","[-0.35434186, -0.1340753, 16.654066, 5.535394, -6.2632318, 16.060305, -1.1300632, -1.9249382, 14.997279, 5.889736]",,,,,,
Gesture R,"[1.9440918, 1.0151415, 14.709975, 7.5465236, 9.375694, -15.20797, 17.180792, 2.432509, 7.5561004]","[8.90643, -1.5514427, 29.745562, 6.5026517, -5.161899, 4.357447, 13.034034, -3.0550013, 15.95496]","[0.5267244, 0.8714894, 9.662998, 7.240066, -7.335834, 15.064317, -2.327164, 0.20111294, 6.042965]",,,,,,
Gesture R,"[1.2449849, 1.685518, 15.811308, 8.073248, -0.4405331, -7.3166804, 16.184803, 7.632715, 7.881712]","[6.2823853, -0.2777274, 36.190754, 0.90021986, -5.5162406, 17.017986, 1.7238252, 1.8866309, 14.729129]","[0.92895025, 1.2641385, 15.8304615, 2.2409728, -4.903325, 20.973207, -4.654328, 6.9719152, 6.3302693]",,,,,,
Gesture R,"[1.7525556, 2.873042, 18.090588, 9.940725, -1.4556746, -2.3654714, 13.455414, 6.4547677, 5.8322754]","[5.2289367, 2.4229321, 26.441563, -1.3599066, -4.663905, 17.03714, 0.33518824, 11.300632, 13.129802]","[0.7757214, 0.842759, 8.935161, 0.6512229, -2.0973208, 22.40015, -4.654328, 13.043611, 6.3781533]",,,,,,
Gesture R,"[2.566584, 0.8714894, 12.411542, 7.929596, 0.63206923, -13.321339, 15.322891, 10.812215, 8.532935]","[7.776367, -0.02873042, 32.4558, 2.8060043, -7.297527, 14.010868, 0.22984336, 12.641385, 12.373235]","[0.37349546, 0.35434186, 21.040245, 3.9073372, -1.1683705, 17.879898, -6.694188, 14.374787, 7.8625584]",,,,,,
Gesture R,"[3.0071173, 1.8483237, 11.147403, 8.676587, -2.7964275, 3.8115692, 11.932701, 2.480393, 2.0685902]","[5.90889, 2.4420857, 29.1518, 0.82360536, -5.899313, 22.266075, -3.3135753, 21.030668, 7.479486]","[-0.1436521, -0.4213795, 17.228676, 4.10845, -3.5338416, 13.8480625, -4.6160207, 16.912642, 5.8226986]",,,,,,
Gesture R,"[0.5267244, -0.5746084, 9.653421, 4.7022123, 10.036493, -17.54471, 20.216639, 5.3342814, 6.435614]","[10.658986, -0.47884035, 15.26543, 10.01734, -3.2273839, -0.60333884, 13.168109, -3.4955344, 22.505495]","[1.283292, 2.078167, 2.1260512, 10.477027, -7.326257, 14.623784, -4.1276035, 1.6376339, 22.227768]",,,,,,
Gesture R,"[0.08619126, 0.7661445, 13.043611, 9.710882, -3.916914, 13.8959465, 6.655881, 10.582372, 7.019799]","[6.090849, 1.340753, 25.665842, -0.46926352, -4.271256, 22.37142, -4.4915223, 14.4130945, 14.939818]","[1.4748282, 1.7429788, 10.563218, -0.61291564, -1.0247183, 10.170568, -3.122039, 20.954054, 10.477027]",,,,,,
Gesture R,"[1.7717092, -0.1436521, 13.541605, 4.1180267, 8.226477, -12.152967, 21.337126, 5.717354, 14.958972]","[8.360553, -1.9728222, 33.327286, 2.7581203, -3.0454245, 0.7469909, 17.621325, -5.4300494, 23.66429]","[0.06703765, 2.9496565, 26.54691, 9.768343, -8.130709, 6.129156, -2.1739352, -0.94810385, 19.16319]",,,,,,
Gesture R,"[1.9536686, -1.1779473, 12.325351, 10.352529, 4.865018, -14.949395, 18.550274, 5.4300494, 11.003751]","[8.475474, -1.9919758, 31.392773, 8.207323, -5.2768207, 5.7269306, 11.808203, -4.7884035, 24.267628]","[0.32561144, 3.0071173, 22.256498, 9.883265, -7.8146744, 15.897499, -3.6870706, -1.2066777, 15.696386]",,,,,,
Gesture R,"[1.3215994, 0.89064306, 8.2169, 7.728483, 4.903325, -14.662091, 13.417107, 6.7133417, 7.6231384]","[8.082825, -1.3311762, 31.96738, 6.129156, -6.847417, 14.422671, 0.4405331, 1.3503298, 22.218191]","[0.7086837, 1.2545617, 26.02976, 5.7365074, -6.3111157, 20.216639, -5.2289367, 14.346057, 10.907983]",,,,,,
Gesture R,"[2.1643584, -2.231396, 7.2304893, 7.1059904, 5.841852, -12.344504, 16.567875, 5.449203, 7.297527]","[7.776367, -1.8770541, 28.222849, 6.789956, -3.1986535, 2.432509, 15.20797, -2.873042, 15.993267]","[0.009576807, 3.0454245, 22.73534, 11.511322, -5.6886234, 3.9935284, 0.48841715, -1.0151415, 14.748282]",,,,,,
Gesture R,"[1.541866, -0.91937345, 10.94629, 6.7324953, 6.579266, -8.820239, 15.840038, 6.3111157, 11.549629]","[8.101978, -1.2066777, 31.814152, 8.360553, -3.6870706, 4.6160207, 19.211075, -1.2354081, 10.754754]","[0.6512229, 2.72939, 19.82399, 8.590396, -6.129156, 10.141838, -0.22026655, -1.7908629, 9.184157]",,,,,,
